trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-54.18471445673542,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-49.83788811403894,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,12.899455980175713,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,16.60436910066821,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-23.445649863103228,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,8,-55.167860741047036,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,2.292738068238838,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-37.1968472117906,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,8,1.8960712833368296,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,15,-45.86247156261651,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,0,-87.6077116847485,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-65.60005433472854,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,18,3.095619814700515,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,16,-7.668490529075577,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47534004200570695}",30,7,15.12040419519454,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,15,-6.296185107119078,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46588077516979337}",30,0,-36.33482478265371,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.46122196741809546}",30,0,-92.27004329989707,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,0,-97.54880496629316,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,0,-3.4814947537340997,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4475232137638106}",30,0,-50.14628282759339,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-30.385200276522713,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,8,-7.576572820502878,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43423132679181164}",30,23,-28.640635391974904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,13,11.902365066382421,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4255901233886546}",30,0,-32.202246498805124,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.421334222154768}",25,0,31.81468908452078,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,5,2.7300542685959432,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,11,-8.751870380470612,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,0,-25.45679543330511,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,2,-92.69232400686212,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,20,8.480796900856404,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3966778064220251}",25,15,-32.21656452609368,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,0,-28.86061322126168,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.3887839180742268}",25,11,-12.212440413875845,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38489607889348454}",35,15,-21.523573790024717,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,6,-0.3957586910297908,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,3,-42.1316939845084,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,3,-62.08686060712733,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 2}",1
100,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,2,-10.00226834063043,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3660323412732292}",35,9,-33.71869874688959,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3623720178604969}",30,4,-34.983750497341155,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3587482976818919}",30,21,15.236492357327268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.355160814705073}",30,22,10.150678173236026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.35160920655802225}",20,13,-7.8495286224335015,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.348093114492442}",25,8,21.340326918720898,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3446121833475176}",30,15,26.78896103258637,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,6,4.556469199567114,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.337754400898902}",20,8,-28.733008159285795,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.334376856889913}",25,0,25.093422317949802,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,10,-35.574399643761005,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
